"file","generated_at","query","profile","retrieval","selected_attempt","selected_token_budget","selected_top_k","context_tokens_used","context_token_budget","output_length","selected_useful","selected_failed","failure_reason","context_tokens_present","token_savings_vs_2200_budget","token_savings_vs_2200_used","auto_scope"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-05-28T07:21:40.3934191+03:00","mcp docker server mvp faze","planning","hybrid","1","900","8","447","900","1867","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-05-28T07:21:40.8762857+03:00","release checklist gate-uri","planning","hybrid","1","900","8","447","900","1844","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-05-29T19:53:29.8166246+03:00","roadmap faze prioritati","planning","hybrid","1","900","8","705","900","2897","True","False","","True","1300","1495","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-05-29T19:53:30.3374430+03:00","mcp docker server mvp faze","planning","hybrid","1","900","8","447","900","1867","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-05-29T19:53:30.8873346+03:00","release checklist gate-uri","planning","hybrid","1","900","8","447","900","1844","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-05-30T09:58:07.8107567+03:00","roadmap faze prioritati","planning","hybrid","1","900","8","705","900","2897","True","False","","True","1300","1495","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-05-30T09:58:08.2891916+03:00","mcp docker server mvp faze","planning","hybrid","1","900","8","447","900","1867","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-05-30T09:58:08.7790856+03:00","release checklist gate-uri","planning","hybrid","1","900","8","447","900","1844","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-05-30T22:01:29.2039475+03:00","roadmap faze prioritati","planning","hybrid","1","900","8","705","900","2897","True","False","","True","1300","1495","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-05-30T22:01:29.8163146+03:00","mcp docker server mvp faze","planning","hybrid","1","900","8","447","900","1867","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-05-30T22:01:30.4823329+03:00","release checklist gate-uri","planning","hybrid","1","900","8","447","900","1844","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-05-31T11:27:24.8235430+03:00","roadmap faze prioritati","planning","hybrid","1","900","8","705","900","2897","True","False","","True","1300","1495","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-05-31T11:27:25.3539377+03:00","mcp docker server mvp faze","planning","hybrid","1","900","8","447","900","1867","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-05-31T11:27:25.8726687+03:00","release checklist gate-uri","planning","hybrid","1","900","8","447","900","1844","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-01T10:18:47.1220731+03:00","roadmap faze prioritati","planning","hybrid","1","900","8","705","900","2897","True","False","","True","1300","1495","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-01T10:18:47.6470405+03:00","mcp docker server mvp faze","planning","hybrid","1","900","8","447","900","1867","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-01T10:18:48.1432255+03:00","release checklist gate-uri","planning","hybrid","1","900","8","447","900","1844","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-02T17:20:56.2017288+03:00","roadmap faze prioritati","planning","hybrid","1","900","8","705","900","2897","True","False","","True","1300","1495","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-02T17:20:56.7411327+03:00","mcp docker server mvp faze","planning","hybrid","1","900","8","447","900","1867","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-02T17:20:57.2793881+03:00","release checklist gate-uri","planning","hybrid","1","900","8","447","900","1844","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-03T06:11:33.4942818+03:00","roadmap faze prioritati","planning","hybrid","1","900","8","705","900","2897","True","False","","True","1300","1495","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-03T06:11:33.9968368+03:00","mcp docker server mvp faze","planning","hybrid","1","900","8","447","900","1867","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-03T06:11:34.5154055+03:00","release checklist gate-uri","planning","hybrid","1","900","8","447","900","1844","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-04T06:16:24.0865809+03:00","roadmap faze prioritati","planning","hybrid","1","900","8","705","900","2897","True","False","","True","1300","1495","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-04T06:16:24.5980707+03:00","mcp docker server mvp faze","planning","hybrid","1","900","8","447","900","1867","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-04T06:16:25.1078198+03:00","release checklist gate-uri","planning","hybrid","1","900","8","447","900","1844","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-05T06:12:37.8534685+03:00","roadmap faze prioritati","planning","hybrid","1","900","8","705","900","2934","True","False","","True","1300","1495","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-05T06:12:38.6664688+03:00","mcp docker server mvp faze","planning","hybrid","1","900","8","447","900","1886","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-05T06:12:39.6143641+03:00","release checklist gate-uri","planning","hybrid","1","900","8","447","900","1844","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-06T12:24:24.7268745+03:00","roadmap faze prioritati","planning","hybrid","1","900","8","705","900","2934","True","False","","True","1300","1495","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-06T12:24:25.4523227+03:00","mcp docker server mvp faze","planning","hybrid","1","900","8","447","900","1886","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-06T12:24:26.4755368+03:00","release checklist gate-uri","planning","hybrid","1","900","8","447","900","1844","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-07T09:11:35.6133487+03:00","roadmap faze prioritati","planning","hybrid","1","900","8","705","900","2936","True","False","","True","1300","1495","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-07T09:11:36.5693743+03:00","mcp docker server mvp faze","planning","hybrid","1","900","8","447","900","1886","True","False","","True","1300","1753","True"
